Timestamp (raw),Age (raw),Gender (raw),Graduation Year (raw),Language Number (raw),Current Course (raw),First Course (raw),Background (raw),Reading Proficiency (raw),Writing Proficiency (raw),Listening Comprehension Proficiency (raw),Speaking Proficiency (raw),Overhear (raw),Overhear Year (raw),Overhear Year (clean),Overhear Location (raw),Overhear Amount (raw),Overhear Frequency (raw),Practice (raw),Practice Year (raw),Practice Year (clean),Practice Location (raw),Practice Amount (raw),Practice Frequency (raw),Apps (raw),Apps Year (raw),Apps Year (clean),Apps Frequency (raw),Apps Type (raw),Read (raw),Read Year (raw),Read Year (clean),Read Frequency (raw),Read Type (raw),Podcast (raw),Podcast Year (raw),Podcast Year (clean),Podcast Frequency (raw),Music (raw),Music Year (raw),Music Year (clean),Music Frequency (raw),Music Choice (raw),Television (raw),Television Year (raw),Television Year (clean),Television Frequency (raw),Television Subtitles (raw),Abroad (raw),Abroad Speaking (raw),Comments (raw)
2/27/2025 10:35:25,21,Woman,May 2026,first language,Span 311,Span 304,"I grew up speaking both English and Spanish at home, specifically Spanish with my mom ",Fluent: you can read Spanish without translating in your head first.,"Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.",Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,,,Home,Most conversations,Daily,Yes,,,Home,A few conversations,More than once a day,No,,,,,Yes,,,Less than once a week,Newspapers,No,,,,Yes,,,Once a week,I turn on the music,Yes,,,Once a week,"Spanish audio, Spanish subtitles","Lived in Cuba for 2 years, lived in Mexico for 7 years, did a semester abroad in Madrid, lived less than a year in Colombia and travelled home in colombia and around madrid ","Yes, completely, even to those I was traveling/living with",
2/27/2025 10:35:50,18,Woman,May 2028,first language,SPAN 311,SPAN 304,I am Mexican and have lived in Mexico my entire life so I grew up speaking Spanish. I also took Spanish classes in high school like AP Spanish Language and AP Spanish Literature. This is the first Spanish course where I learn how to write in Spanish since I have had more practice with informal Spanish and just speaking it.,Fluent: you can read Spanish without translating in your head first.,Fluent: you can write Spanish without translating in your head first.,Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,My whole life,_AGE_,"Home, School",Most conversations,Daily,Yes,My whole life,_AGE_,"Home, School",Most conversations,More than once a day,No,,,,,,2 years,2 years,Less than once a week,Newspapers,No,,,,Yes,My whole life,_AGE_,More than once a day,I turn on the music,No,,,,,"Yes, I have lived in Mexico my entire life.","Yes, completely, even to those I was traveling/living with",
2/27/2025 10:38:27,19,Woman,May 2027,second language,SPAN 311,SPAN 303 ,I grew up speaking Spanish with friends and family ,Fluent: you can read Spanish without translating in your head first.,Fluent: you can write Spanish without translating in your head first.,Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,19,19,"Home, School, Work",Most conversations,Daily,Yes,19,19,"Home, School, Work",Exclusively Spanish,More than once a day,No,0,,,,Yes,8,8,Once a day,"Magazines, Newspapers, Scholarly Articles",Yes,2,2,Once a week,Yes,19,19,More than once a day,I turn on the music,Yes,19,19,Once a day,"Spanish audio, no subtitles",I visit friends and family in mexico a few times a year for a few weeks each. I have also been to spain recently.,"Yes, completely, even to those I was traveling/living with",
2/27/2025 10:43:27,19,Woman,May 2027,first language,SPAN 311,SPAN 212,"Spanish was my first language and I learned it in my spanish speaking household. I went on to learn English mostly through school. I did not take a Spanish class until high school, where I took Spanish for 3 years. Now, I am minoring in Spanish and have taken 2 courses at USD. The majority of the Spanish I speak is at home. I am just now learning more about formal grammar rules and vocabulary.","Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.",Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,19,19,Home,Most conversations,Weekly,Yes,19,19,Home,Most conversations,Once a day,No,,,,,Yes,4,4,Less than once a week,"Young adult books, Websites",No,,,,Yes,19,19,Once a day,I turn on the music,No,,,,,"I have travelled to Guatemala 7 times over the last 19 years. I typically stayed for two weeks, however, when I was a baby I stayed for a month and last summer I stayed for a month.","Yes, completely, even to those I was traveling/living with",
2/27/2025 12:33:53,35,Woman,May 2026,first language,SPAN311,SPAN 202,"I spoke Spanish the first 4 years of my life, but did not use it after that. I was born and raised in Miami, so I was surrounded by it. In 2008, I joined the Navy where I never used Spanish. It wasn't until I took Spanish at community college summer 2023, that I started remembering it and learning it formally. This is when I started being able to speak to my grandma again (she only spoke Spanish.) I started watching shows in Spanish, listening to more music in Spanish, and now I am reading books in Spanish. I do my best to speak to my mom in Spanish, but English is just easier. Most places in San Diego have Spanish speakers, so if I suspect someone speaks Spanish, I immediately start speaking and tell them that I'm learning, that way they don't shy away from using Spanish with me (which people have done before).","Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,1,1,"Home, School",A few conversations,Weekly,No,2,2,"Home, School",A few conversations,Less than once a week,No,,,Less than once a week,n/a,Yes,0.1,0.1,Once a day,"Nonfiction books, Newspapers, Scholarly Articles",Yes,0.8,0.8,Less than once a week,Yes,35,35,Less than once a week,I turn on the music,Yes,3,3,Less than once a week,"Spanish audio, no subtitles",I studied abroad in Barcelona for a month,"Yes, completely, even to those I was traveling/living with",
2/28/2025 8:06:26,20,Man,May 2027,second language,SPAN 102,SPAN 100,I took Spanish classes since the 4th Grade,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,4,4,School,A few conversations,Weekly,No,1,1,School,A few conversations,Once a day,No,1,1,Once a day,1,Yes,1,1,Once a day,Nonfiction books,Yes,1,1,Once a day,No,1,1,Less than once a week,Someone else turns on the music,No,1,1,Less than once a week,"Spanish audio, Spanish subtitles",No i have not,No,No
2/28/2025 8:07:29,19,Woman,May 2028,second language,Span 102,Span 101,I took Spanish in high school and only was exposed to the language in class or while doing homework,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,Yes,5,5,Once a week,I turn on the music,No,,,,,I traveled to Spain for a week,"Yes, some of the time/to some people",
2/28/2025 8:08:27,19,Man,May 2028,second language,SPAN 102,SPAN 101 ,"Outside of my classes at USD, I took two high school level spanish courses my freshman and senior year. 

Then I have friends who speak spanish in their household but I would not be able to understand them. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,About 3.5 years ,About 3.5 years ,"School, in public ",A few conversations,Weekly,No,,,,,,Yes,0.5 years ,0.5 years ,Once a day,duolingo,No,,,,,No,,,,No,,,,,No,,,,,I have not traveled to or lived in a spanish speaking country. ,,
2/28/2025 8:08:53,18,Woman,May 2028,second language,SPAN 102,SPAN 102,I took four years of Spanish in high school. It was not the best program. ,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",,,,,,,Yes,Since I started SPAN 102,,Tutoring,Most conversations,Less than once a week,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,No,No,
2/28/2025 8:08:59,19,Woman,May 2028,third language,SPAN 102,SPAN 101,"I learned Spanish in elementary and highs cool, however I am from Indiana, so there was not a lot of diversity in the area. There is not a lot of spanish speaking people in the Midwest. ","Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,.5 months,0.04,School,Most conversations,Daily,No,none,,Tutoring,,Less than once a week,No,0,,Less than once a week,dueling,No,0.5,0.5,Once a week,"Newspapers, Scholarly Articles",Yes,0.5,0.5,Less than once a week,Yes,2,2,Less than once a week,Someone else turns on the music,Yes,2,2,Once a week,"Spanish audio, Non-spanish subtitles","Yes, I have been to Argentine, Brazil, Spain and Portugal. I went there as family trips. I went to Argentina and Brazil a month ago. I went to Portugal and Spain when I was in fifth grade. ","Yes, some of the time/to some people",
2/28/2025 8:09:06,26,Man,December 2027,second language,SPAN 102,SPAN 100,"I only took Spanish in highschool, but it was a much slower pace than college. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,3,3,"Work, Just out in public places",A few conversations,,Yes,1.5 yrs,1.5 yrs,"Home, Work",A few conversations,Once a week,No,0.5,0.5,Once a week,Duolingo,Yes,0.25,0.25,Once a week,"Newspapers, Scholarly Articles, Stories online",No,0,,Once a day,Yes,,,Once a week,I turn on the music,No,0.5,0.5,Less than once a week,"Spanish audio, Non-spanish subtitles",I have been to Mexico and Rota Spain but both trips were very brief. ,"Yes, a few words when I needed to",
2/28/2025 8:10:00,24,Woman,May 2025,second language,SPAN 102,SPAN 100,"I had required Spanish classes in my middle and high school; students had to get up to at least 3/4 level. I do have a couple of Spanish-speaking grandparents, I don't see too often, but a couple words here and there they would say in Spanish that I've picked up. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,"All my life, growing up in California there are Spanish speakers all around.",_AGE_,"Mostly out and about, sometimes my grandparents, and obviously school.",A few conversations,Weekly,No,,,,,,No,,,,,No,,,,,No,,,,Yes,3 years ,3 years ,Once a day,I turn on the music,No,,,,,"I did travel to Mexico back in 2016, I didn't know much spanish. A couple words I could pick up, I was only there for about a week.","Yes, a few words when I needed to",
2/28/2025 8:10:05,19,Woman,May 2028,second language,SPAN 102,SPAN 101,"I was born in Guatemala but am adopted so I was around spanish at a really young age but never learned it. Going into college, taking spanish 101 was my first time taking a spanish class. I have done some duolingo in the past but haven't gotten really far. ","Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,3,3,School,A few conversations,Weekly,No,0,,"School, Tutoring",A few conversations,Less than once a week,Yes,2,2,Less than once a week,Duolingo,No,,,,,No,,,,Yes,8,8,Once a week,I turn on the music,Yes,1,1,Less than once a week,"Spanish audio, Non-spanish subtitles",Lived in Guatemala until I was 8 months or so.,No,
2/28/2025 8:10:39,18,Woman,May 2028,second language,SPAN 200,SPAN 200,I have taken a Spanish class every year since sixth grade.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,Yes,3 years ,3 years ,Less than once a week,Someone else turns on the music,No,,,,,I have not traveled or lived in a Spanish-speaking country.,No,
2/28/2025 8:11:16,19,Woman,May 2027,second language,102,101,Spanish in middle/ high school/ parent who spoke spanish but not to me directly/ grandmother who speaks spanish. ,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,since I was 5,AGE minus 5,"Home, School, Work",A few conversations,Weekly,No,n/a,,"School, Tutoring",A few conversations,Once a week,No,,,Less than once a week,,No,,,Less than once a week,Easy chapter books,,,,Less than once a week,Yes,2,2,Less than once a week,Someone else turns on the music,No,,,Less than once a week,"Non-spanish audio, Spanish subtitles",no,No,no
2/28/2025 8:11:37,18,Man,May 2028,second language,SPAN 102,SPAN 101,I took Spanish in my freshmen and sophomore year of high school and that is my only experience in learning Spanish until I came to USD. ,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,Yes,1 year ,1 year ,Once a week,I turn on the music,No,,,,,I traveled to Spain in July of 2024. I was there for too weeks and was exposed to a lot of Spanish speaking and it forced me to learn some basic conversations. ,"Yes, some of the time/to some people",
2/28/2025 8:12:19,18,Man,May 2028,second language,102,SPAN 101,"I took Spanish in Highschool but I never really absorbed the lessons, what really helped me learn some spanish was my grandma, we have a language barrier since she is mostly a spanish speaker and I only english but by talking with her I started to pick up spanish and thats what really helped me learn.","Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,12,12,"Home, School, Work",A few words,Daily,No,,,,,,No,,,,,No,,,,,No,,,,Yes,1,1,Once a week,I turn on the music,No,,,,,I spent a couple weeks in mexico and el salvador at different time but still amazing experiences.,"Yes, a few words when I needed to",Highly recommend traveling to El Salvador.
2/28/2025 8:16:12,19,Woman,May 2027,second language,SPAN 102,SPAN 101 ,I took spanish for 4 years in middle school going into high school. My best friend is dominican so she speaks spanish fluently in her household so I would have to try and listen to what they were saying to know and my aunts parents are from spain so she speaks fluent spanish as well. ,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,5 years ,5 years ,Friends house ,Exclusively Spanish,Daily,No,4 years,4 years,In high school and middle school ,A few words,Once a week,No,,,,,No,,,,,No,,,,Yes,2 years,2 years,Once a week,Someone else turns on the music,No,,,,,No,,
2/28/2025 8:49:26,22,Woman,May 2026,second language,span 102,span 101,I spoke Spanish until i was 7. I stopped speaking it and lost the language. Although I can still understand things in context. half my family speaks Spanish.,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,22 years,22 years,Home,A few conversations,Weekly,Yes,1,1,Home,A few words,Once a week,No,.,.,Less than once a week,dueling time to time,No,,,,,No,,,,Yes,22,22,Once a day,I turn on the music,No,,,,,when I was 8 I went to Spain for the first time for a couple of weeks and went to camp I did that maybe for 3 years. then ive been back to Spain maybe 5 more times after that as a young adult for a couple of days. ive also been to Cuba around the age of 16 for a couple of days. I went to Peru and Colombia too around that time for about 10 days each. I went to Mexico twice this year for about a couple of days and a week. technically Miami isn't a Spanish speaking country but I go at least once a year this is where I am most engaged in speaking Spanish.,"Yes, a few words when I needed to",
2/28/2025 9:13:33,21,Man,May 2026,third language,SPAN 102,SPAN 101,"I took a few years in high school, but I forgot all of it when I came to college. My Dad lives in Mexico though, so I wanted to learn in order to go visit him.","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,Since I was 10,AGE minus 10,"School, Work",Most conversations,Daily,No,,,,,,No,,,,,No,,,,,No,,,,Yes,10,10,Less than once a week,Someone else turns on the music,No,,,,,"yes, I have traveled to Mexico. I traveled there once when I was 14",,n/a
2/28/2025 9:13:40,19,Woman,May 2027,second language,SPAN 102,SPAN 102,High school,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,Monthly,No,,,Home,A few conversations,Less than once a week,No,,,,,No,,,,,No,,,,Yes,4,4,Less than once a week,I turn on the music,No,,,,,"Spain, went for a week with my family. I'm also going back to Spain in the Fall and studying in Madrid.","Yes, some of the time/to some people",
2/28/2025 9:14:32,22,Man,December 2026,second language,102,101,I had never experienced it. Only ever heard it in movies.,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,no,,
2/28/2025 9:14:32,21,Man,May 2026,second language,SPAN 102,SPAN 102,"Took Spanish through high school. Also learned the language through working as a busier, picking up words and phrases over time","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,Yes,.5 years,0.5 years,Less than once a week,I turn on the music,No,,,,,"Mexico, stayed for a week, and only been there once when I was about 12.",No,No
2/28/2025 9:14:47,19,Man,May 2028,second language,SPAN 102,SPAN 101,I had no experience speaking or listening to the language.,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,0.5,0.5,School,A few words,Weekly,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,,,Nope
2/28/2025 9:14:49,20,Woman,May 2027,second language,span 102,span 101,my best friend went to a bilingual school. my house cleaners speak spanish. i took spanish classes in elementary school and one year in high school. ,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,10,10,housecleaners at home or some resteraunts,A few conversations,Monthly,No,1,1,School,A few words,Less than once a week,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,puerto rico - i didnt need to speak much spanish becuas emy friend did it for me ,"Yes, a few words when I needed to",no
2/28/2025 9:15:14,18,Woman,May 2028,second language,SPAN 102,SPAN 101,"My family in Texas spoke Spanish and so I was surrounded by it, but never learned how to speak it fluently. I have friends who speak Spanish and living in San Diego there are a lot of native speakers.","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,18 years,18 years,School,A few conversations,Daily,No,,,,,,Yes,.5 years,0.5 years,Once a day,Duolingo,No,,,,,No,,,,Yes,.5 years,0.5 years,Once a day,I turn on the music,No,,,,,No,,
2/28/2025 9:15:26,19,Woman,May 2028,second language,SPAN 102,SPAN 101,I took Spanish for two years in high school and studied Spanish abroad for a month in Argentina.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,0.5,0.5,School,A few conversations,Weekly,No,,,,,,Yes,4,4,Less than once a week,Duolingo,No,,,,,No,,,,Yes,2,2,Less than once a week,I turn on the music,No,,,,,"Yes, I went to Argentina for a month when I was 17","Yes, some of the time/to some people",
2/28/2025 9:15:31,19,Man,May 2027,second language,SPAN 102,SPAN 102,Even though I never spoke fluent Spanish many of my friends from school and their families spoke a lot of Spanish so I picked a lot of it up from them. My babysitter when I was a kid also spoke to me in Spanish so that helped. In high school I took Spanish levels 1 to 3.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,13,13,Around my friends and their parents,Most conversations,Weekly,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,No,,
2/28/2025 9:15:41,21,Woman,May 2026,second language,SPAN 102,SPAN 101,"My dad grew up in MX and then moved here and he knew Spanish his whole life and learned English, becoming fluent in both. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,21,21,"Home, School",A few conversations,Daily,Yes,19,19,"Home, School",A few words,Less than once a week,Yes,,,,,No,,,Once a week,Newspapers,No,,,,Yes,,,Once a week,,,,,,,,"Yes, some of the time/to some people",
2/28/2025 9:16:04,18,Woman,December 2028,second language,Spanish 102,Spanish 101,NO spanish background what-so-ever. I was a full beginner when I started this class. ,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,just this year. (only in my spanish class),1,School,Most conversations,Weekly,No,none ,,"Home, School",A few conversations,Once a day,No,,,,,No,none,,Once a day,"Magazines, Newspapers, Scholarly Articles",No,,,,No,none,,Less than once a week,Someone else turns on the music,No,,,,,no ,No,n/a
2/28/2025 9:17:06,19,Man,May 2028,second language,Spanish 102 Semester Two,Spanish 102 Semester Two,"Studied throughout high school, some family speaks Spanish, friends are native Spanish speakers. I have traveled to native Spanish speaking countries. I want to study in Spain at some point. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,2,2,"Home, School",A few conversations,Daily,No,1,1,Home,A few conversations,Once a day,Yes,1,1,Once a week,Duo Lingo,Yes,0.5,0.5,Once a week,"Websites, Lyrics",No,0,,Less than once a week,Yes,6,6,More than once a day,I turn on the music,Yes,1,1,,"Spanish audio, Spanish subtitles",Yes,"Yes, a few words when I needed to",
2/28/2025 9:17:18,20,Woman,May 2027,first language,SPAN 102,SPAN 100,"My grandparents always spoke spanish to me growing up, so when I would go over that was my exposure to spanish coming to spanish class I thought in would be easily because in high school I took it two years, and I thought it would be easy at USD but it's actually so hard","Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,20,20,Home,A few conversations,Weekly,No,,,Home,A few words,Once a week,Yes,,,Less than once a week,dueling,No,,,Less than once a week,Magazines,No,,,Less than once a week,Yes,20,20,Once a week,I turn on the music,No,,,Less than once a week,"Non-spanish audio, Spanish subtitles",I was 15 years old and I went to Colombia,"Yes, some of the time/to some people",
2/28/2025 9:18:06,20,Woman,Spring 2027,second language,Spanish 102,Spanish 101,I took three years of spanish in high school,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,My mom only speaks to my nana in spanish sometimes. Not enough for her to teach it to me. My current roommate however only speaks in spanish to her mom so I always hear her on the phone,,School,A few conversations,Weekly,No,,,,,,Yes,Through high school,4,Once a week,Spanish dictionary ,No,,,,,,,,,Yes,Since high school ,,Less than once a week,I turn on the music,No,,,,,No,No,
2/28/2025 11:21:58,19,Man,May 2028,second language,SPAN 101,SPAN 101,"Coworkers spoke spanish, I took 3 years of spanish in high school","Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,,,,,,No,,,,,,Yes,0.3,0.3,Once a day,Duo Lingo,No,,,,,No,,,,Yes,1 year,1 year,Less than once a week,I turn on the music,No,,,,,I have traveled to Mexico,No,
2/28/2025 11:22:03,21,Man,May 2026,second language,101,101,I took 2 years in highschool.,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,,,,,,No,,,,,,Yes,1,1,Once a week,duo lingo,No,,,,,No,,,,No,,,,,No,,,,,Yes mexico,"Yes, some of the time/to some people",no
